area,project,developer,locality,status,advertised_units
Ukay,DaMai,SDB,Taman Melawati,Ongoing,306
Ukay,Trinity Sensoria,Trinity Group (JV with Oxley Holdings),Ukay / Pinggiran Ukay,Ongoing,737
Ukay,Ukay Spring,Malton,Ukay Perdana,Newly launched / Future phases,
Ukay,Chin Hin Ulu Kelang Development,Chin Hin Group Property,Bandar Ulu Kelang,Upcoming,1449
Ukay,LEA By The Hills,OSK Property,Taman Melawati,Ongoing / Completing,344
Ukay,Park One Residence,Sime Darby Property,Taman Melawati,New / Recent,234
Ukay,Sierra Hijauan,IJM Land,Ukay Perdana,Current / Later phases,310
Ukay,Embun/Emery @ Kemensah,Titijaya Land Berhad (NOT Sime Darby),Kemensah,Existing / Benchmark,103
Ukay,Tijani Ukay Ampang,Symphony Life Berhad (NOT Sime Darby),Ukay,Existing benchmark,118
Ukay,19Trees,SDB (NOT Bina Puri - they may have been contractor),Taman Melawati,Recently completed,222
Ukay,20Trees,SDB,Taman Melawati,Completed benchmark,201
Ukay,Nadayu 63,Nadayu Properties,Taman Melawati,Completed benchmark,296
Ukay,16 Quartz @ Taman Melawati,Mitraland,Taman Melawati,Completed benchmark,81
Ukay,Trinity Wellnessa Condominium,Trinity Group (JV with Oxley Holdings),Pinggiran Ukay,Completed benchmark,463
Ukay,Nassim Heights,Newfields Group / Nassim Development Sdn Bhd,Ukay Bistari,Completed benchmark,81
Ukay,Kelab Ukay Residence,Sri Datai Group,Kelab Ukay,Existing benchmark,15
Ukay,Villaria,,Bukit Antarabangsa,Existing benchmark,
Ukay,MAIA,UEM Sunrise (if this is MAIA Mont'Kiara),,"CONFIRM — probably MAIA Mont'Kiara (UEM Sunrise), which is not in Ukay",495
