week,project_key,tracker,project,unit_type,sold,seen
2026-06-05,straits-view-duo,johor,,A,110,
2026-06-05,straits-view-duo,johor,,A1,4,
2026-06-05,straits-view-duo,johor,,A2,1,
2026-06-05,straits-view-duo,johor,,B,72,
2026-06-05,straits-view-duo,johor,,B1,20,
2026-06-05,straits-view-duo,johor,,B2,4,
2026-06-05,straits-view-duo,johor,,C,51,
2026-06-05,straits-view-duo,johor,,C1,2,
2026-06-12,straits-view-duo,johor,,A,117,
2026-06-12,straits-view-duo,johor,,A1,3,
2026-06-12,straits-view-duo,johor,,A2,1,
2026-06-12,straits-view-duo,johor,,B,71,
2026-06-12,straits-view-duo,johor,,B1,22,
2026-06-12,straits-view-duo,johor,,B2,4,
2026-06-12,straits-view-duo,johor,,C,55,
2026-06-12,straits-view-duo,johor,,C1,2,
2026-06-19,straits-view-duo,johor,,A,116,
2026-06-19,straits-view-duo,johor,,A1,3,
2026-06-19,straits-view-duo,johor,,A2,1,
2026-06-19,straits-view-duo,johor,,B,73,
2026-06-19,straits-view-duo,johor,,B1,21,
2026-06-19,straits-view-duo,johor,,B2,4,
2026-06-19,straits-view-duo,johor,,C,54,
2026-06-19,straits-view-duo,johor,,C1,2,
2026-06-26,straits-view-duo,johor,,A,120,
2026-06-26,straits-view-duo,johor,,A1,3,
2026-06-26,straits-view-duo,johor,,A2,1,
2026-06-26,straits-view-duo,johor,,B,74,
2026-06-26,straits-view-duo,johor,,B1,21,
2026-06-26,straits-view-duo,johor,,B2,4,
2026-06-26,straits-view-duo,johor,,C,56,
2026-06-26,straits-view-duo,johor,,C1,2,
2026-07-03,straits-view-duo,johor,,A,120,
2026-07-03,straits-view-duo,johor,,A1,3,
2026-07-03,straits-view-duo,johor,,A2,1,
2026-07-03,straits-view-duo,johor,,B,74,
2026-07-03,straits-view-duo,johor,,B1,21,
2026-07-03,straits-view-duo,johor,,B2,4,
2026-07-03,straits-view-duo,johor,,C,58,
2026-07-03,straits-view-duo,johor,,C1,2,
2026-07-10,straits-view-duo,johor,,A,125,
2026-07-10,straits-view-duo,johor,,A1,4,
2026-07-10,straits-view-duo,johor,,A2,1,
2026-07-10,straits-view-duo,johor,,B,74,
2026-07-10,straits-view-duo,johor,,B1,21,
2026-07-10,straits-view-duo,johor,,B2,4,
2026-07-10,straits-view-duo,johor,,C,54,
2026-07-10,straits-view-duo,johor,,C1,2,
2026-07-17,straits-view-duo,johor,,A,127,
2026-07-17,straits-view-duo,johor,,A1,4,
2026-07-17,straits-view-duo,johor,,A2,1,
2026-07-17,straits-view-duo,johor,,B,69,
2026-07-17,straits-view-duo,johor,,B1,21,
2026-07-17,straits-view-duo,johor,,B2,3,
2026-07-17,straits-view-duo,johor,,C,56,
2026-07-17,straits-view-duo,johor,,C1,2,
2026-07-24,straits-view-duo,johor,,A,123,
2026-07-24,straits-view-duo,johor,,A1,4,
2026-07-24,straits-view-duo,johor,,A2,1,
2026-07-24,straits-view-duo,johor,,B,73,
2026-07-24,straits-view-duo,johor,,B1,21,
2026-07-24,straits-view-duo,johor,,B2,3,
2026-07-24,straits-view-duo,johor,,C,58,
2026-07-24,straits-view-duo,johor,,C1,2,
2026-07-31,straits-view-duo,johor,,A,125,
2026-07-31,straits-view-duo,johor,,A1,4,
2026-07-31,straits-view-duo,johor,,A2,1,
2026-07-31,straits-view-duo,johor,,B,76,
2026-07-31,straits-view-duo,johor,,B1,21,
2026-07-31,straits-view-duo,johor,,B2,3,
2026-07-31,straits-view-duo,johor,,C,59,
