week,project_key,unit,block,unit_type,sold
2026-08-07,straits-view-duo,A-6-1,A,B2,1
2026-08-07,straits-view-duo,A-6-2,A,B2,1
2026-08-07,straits-view-duo,A-6-3,A,A2,1
2026-08-07,straits-view-duo,A-6-5,A,A1,1
2026-08-07,straits-view-duo,A-6-6,A,A1,1
2026-08-07,straits-view-duo,A-6-7,A,A1,1
2026-08-07,straits-view-duo,A-6-8,A,C1,1
2026-08-07,straits-view-duo,A-7-2,A,B,1
2026-08-07,straits-view-duo,A-7-3,A,A,1
2026-08-07,straits-view-duo,A-7-4,A,A,1
2026-08-07,straits-view-duo,A-7-8,A,C,1
2026-08-07,straits-view-duo,A-7-10,A,A,1
2026-08-07,straits-view-duo,A-8-1,A,B,1
2026-08-07,straits-view-duo,A-8-2,A,B,1
2026-08-07,straits-view-duo,A-8-3,A,A,1
2026-08-07,straits-view-duo,A-8-4,A,A,1
2026-08-07,straits-view-duo,A-8-5,A,A,1
2026-08-07,straits-view-duo,A-8-6,A,A,1
2026-08-07,straits-view-duo,A-8-7,A,A,1
2026-08-07,straits-view-duo,A-8-8,A,C,1
2026-08-07,straits-view-duo,A-8-13,A,B,1
2026-08-07,straits-view-duo,A-9-6,A,A,1
2026-08-07,straits-view-duo,A-9-7,A,A,1
2026-08-07,straits-view-duo,A-9-8,A,C,1
2026-08-07,straits-view-duo,A-9-10,A,A,1
2026-08-07,straits-view-duo,A-9-11,A,A,1
2026-08-07,straits-view-duo,A-10-2,A,B,1
2026-08-07,straits-view-duo,A-10-3,A,A,1
2026-08-07,straits-view-duo,A-10-4,A,A,1
2026-08-07,straits-view-duo,A-10-5,A,A,1
2026-08-07,straits-view-duo,A-10-6,A,A,1
2026-08-07,straits-view-duo,A-10-8,A,C,1
2026-08-07,straits-view-duo,A-10-12,A,B1,1
2026-08-07,straits-view-duo,A-11-4,A,A,1
2026-08-07,straits-view-duo,A-11-8,A,C,1
2026-08-07,straits-view-duo,A-11-11,A,A,1
2026-08-07,straits-view-duo,A-11-12,A,B1,1
2026-08-07,straits-view-duo,A-12-1,A,B,1
2026-08-07,straits-view-duo,A-12-2,A,B,1
2026-08-07,straits-view-duo,A-12-6,A,A,1
2026-08-07,straits-view-duo,A-12-7,A,A,1
2026-08-07,straits-view-duo,A-12-8,A,C,1
2026-08-07,straits-view-duo,A-12-9,A,C,1
2026-08-07,straits-view-duo,A-12-11,A,A,1
2026-08-07,straits-view-duo,A-13-1,A,B,1
2026-08-07,straits-view-duo,A-13-3,A,A,1
2026-08-07,straits-view-duo,A-13-4,A,A,1
2026-08-07,straits-view-duo,A-13-9,A,C,1
2026-08-07,straits-view-duo,A-13-11,A,A,1
2026-08-07,straits-view-duo,A-13-12,A,B1,1
2026-08-07,straits-view-duo,A-13-13,A,B,1
2026-08-07,straits-view-duo,A-14-4,A,A,1
2026-08-07,straits-view-duo,A-14-5,A,A,1
2026-08-07,straits-view-duo,A-14-6,A,A,1
2026-08-07,straits-view-duo,A-14-7,A,A,1
2026-08-07,straits-view-duo,A-14-8,A,C,1
2026-08-07,straits-view-duo,A-14-9,A,C,1
2026-08-07,straits-view-duo,A-14-12,A,B1,1
2026-08-07,straits-view-duo,A-14-13,A,B,1
2026-08-07,straits-view-duo,A-15-1,A,B,1
2026-08-07,straits-view-duo,A-15-2,A,B,1
2026-08-07,straits-view-duo,A-15-6,A,A,1
2026-08-07,straits-view-duo,A-15-8,A,C,1
2026-08-07,straits-view-duo,A-15-9,A,C,1
2026-08-07,straits-view-duo,A-15-10,A,A,1
2026-08-07,straits-view-duo,A-16-2,A,B,1
2026-08-07,straits-view-duo,A-16-3,A,A,1
2026-08-07,straits-view-duo,A-16-4,A,A,1
2026-08-07,straits-view-duo,A-16-5,A,A,1
