tracker,no,project,code,developer,launched,total_units,first_new,remarks
seputeh,1,The Eden,32-16,BRDB Developments Sdn Bhd,2025-07-01,146,3,"Big unit (5,533 to Penthouse 19,031sqft)"
seputeh,2,Imperial Residences- Pavilion DH,30216-1,Pavilion Group (Jendela Mayang S/B),2025-10-01,154,1,"Big unit (3,380 to 4,090sqft  & Penthouse 7,459sqft)."
seputeh,3,Royal Suites- Pavilion DH (small unit),30216-2,Pavilion Group (Jendela Mayang S/B),2026-01-01,490,6,"Small unit (452 to 1,679 sq ft)"
seputeh,4,The Batai,31078-1,Tan & Tan Dev Berhad (Arabayu Sepakat S/B),2025-12-01,48,0,"4-storey Villa (4,854 to 5,157 sq ft); left 3 bumi units"
seputeh,5,Aosis Mont Kiara,31274-1,JKG Land Berhad (Modern Plus Sdn Bhd),2026-04-01,244,0,"Big unit (1,648 to 3,856 sq ft)"
seputeh,6,ParkCity Residences,2463-23,Perdana ParkCity S/B,2026-07-26,433,,"Big unit (2,842 to 10,613 sq ft)"
status13,1,M AURORA,13262-2,MAJORLAND DEVELOPMENT SDN BHD,,1544,,
status13,2,"ARTE STAR 
MILANO",30590-2,SURIAMEGA DEVELOPMENT,,996,,
status13,3, M ASPIRA,5911-33,MAH SING GROUP BERHAD,,1618,,
status13,4,"RESIDENSI DESA TIMUR
A DESA",30363-2,FITRAH RESOURCES SDN BHD,,1218,,
status13,5,"RADIUM ARENA
RESIDENSI RADIUM",30821-1,RADIUM GLOBAL SDN BHD,,988,,
status13,6,RESIDENSI AMBIEN,30366-1,FAITHVIEW RESOURCES SDN BHD,,482,,
status13,7,RESIDENSI HANA,13074-4,NATURAL DOMAIN SDN BHD,,299,,
status13,8,"RESIDENSI
SUNWAY COCHRANE",8824-5,SUNWAY COCHRANE SDN BHD,,1296,,
status13,9,RESIDENSI PLATINUM SAUJANA VIOLET 2 (PSV2),20253-3,PEMBINAAN SERTA HEBAT SDN.BHD,,1500,,
status13,10,RESIDENSI VERIDIAN,30876-1,PERUMAHAN MASTERON SDN BHD,,551,,
status13,11,RESIDENSI AURUM,30250-2,AMBER HOMES SRI PETALING SDN BHD,,661,,
status13,12,THE SHANG RESIDENCE,,SHANG HEIGHT REALTY SDN. BHD.,,449,,
